symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
VOO,2011-01-20,58.588,58.69,58.1606,58.54,206838,97.5915245091,97.7614285082,96.8795934383,97.511569686,103419,0.0,1.0
VOO,2011-01-21,58.72,59.07,58.66,58.95,235805,97.8114002727,98.3944041912,97.7114567438,98.1945171334,117902,0.0,1.0
VOO,2011-01-24,59.08,59.1,58.69,58.7,233192,98.411061446,98.4443759556,97.7614285082,97.778085763,116596,0.0,1.0
VOO,2011-01-25,59.06,59.1,58.6,58.9,453016,98.3777469364,98.4443759556,97.6115132149,98.1112308593,226508,0.0,1.0
VOO,2011-01-26,59.37,59.47,59.12,59.22,218495,98.8941218356,99.0606943838,98.4776904653,98.6442630134,109247,0.0,1.0
VOO,2011-01-27,59.45,59.546,59.24,59.34,594487,99.0273798742,99.1872895204,98.677577523,98.8441500712,297243,0.0,1.0
VOO,2011-01-28,58.402,59.61,58.34,59.54,593262,97.2816995696,99.2938959512,97.1784245897,99.1772951675,296631,0.0,1.0
VOO,2011-01-31,58.85,58.9,58.469,58.61,281066,98.0279445853,98.1112308593,97.3933031768,97.6281704697,140533,0.0,1.0
VOO,2011-02-01,59.77,59.8862,59.19,59.24,294798,99.5604120282,99.7539693292,98.594291249,98.677577523,147399,0.0,1.0
VOO,2011-02-02,59.67,59.83,59.62,59.62,181918,99.3938394801,99.6603555571,99.310553206,99.310553206,90959,0.0,1.0
VOO,2011-02-03,59.82,59.9,59.25,59.6,144420,99.6436983023,99.7769563408,98.6942347779,99.2772386964,72210,0.0,1.0
VOO,2011-02-04,59.98,60.01,59.57,59.85,194055,99.9102143793,99.9601861438,99.2272669319,99.6936700667,97027,0.0,1.0
VOO,2011-02-07,60.3591,60.56,60.13,60.15,236018,100.5416909094,100.8763351586,100.1600732016,100.1933877112,118009,0.0,1.0
VOO,2011-02-08,60.64,60.65,60.3,60.44,306920,101.0095931971,101.0262504519,100.4432465334,100.6764481008,153460,0.0,1.0
VOO,2011-02-09,60.49,60.64,60.232,60.49,279262,100.7597343749,101.0095931971,100.3299772007,100.7597343749,139631,0.0,1.0
